index,filename,source,label,augmentation,flip,zoom,rotation_deg,brightness,contrast,saturation,blur_radius,noise_sigma
1,train/good/dish_good_001.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,original,False,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2,train/good/dish_good_002.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.01455,-2.8663,0.97948,0.96117,0.97882,0.3727,1.2342
3,train/good/dish_good_003.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.02365,-2.7545,1.02061,1.00545,0.97254,0.0,1.1514
4,train/good/dish_good_004.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.02966,-0.4987,0.95142,1.02746,0.99214,0.0,0.1984
5,train/good/dish_good_005.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.0102,0.5861,0.95944,1.03456,0.99613,0.0,0.3639
6,train/good/dish_good_006.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.02726,2.1228,0.99637,1.03754,1.00157,0.0,0.8149
7,train/good/dish_good_007.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.00024,-2.7487,1.00904,0.99718,1.01018,0.0,0.1719
8,train/good/dish_good_008.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.00544,1.7385,0.98811,0.97434,1.02586,0.0,0.0293
9,train/good/dish_good_009.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.02848,-0.4809,1.04559,1.02665,0.98661,0.0,1.0551
10,train/good/dish_good_010.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.04204,-2.2513,1.01984,0.97356,0.97518,0.0,0.0007
11,train/good/dish_good_011.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.0112,0.1361,0.96366,0.9786,1.01637,0.0,0.044
12,train/good/dish_good_012.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.01399,0.1887,1.00171,0.98887,0.99746,0.0,0.4909
13,train/good/dish_good_013.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.03084,-1.8374,1.01124,1.01844,0.97731,0.0,0.0657
14,train/good/dish_good_014.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.03261,1.8035,1.01642,1.03366,0.98886,0.0,0.4169
15,train/good/dish_good_015.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.02286,-0.557,0.98567,1.03758,0.99723,0.0,1.0272
16,train/good/dish_good_016.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.03834,-1.4366,0.99535,0.99392,0.99577,0.0,0.581
17,train/good/dish_good_017.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.00502,-0.2142,0.9546,0.98119,0.992,0.0,1.2228
18,train/good/dish_good_018.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.00249,-1.6618,1.00794,1.00562,0.97135,0.0,1.0367
19,train/good/dish_good_019.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.01091,0.06,0.97398,1.01297,0.9722,0.0,1.2481
20,train/good/dish_good_020.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.0022,1.5585,1.02345,1.04896,1.00484,0.0,0.5519
21,train/good/dish_good_021.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.03089,-2.9858,0.95445,0.97984,1.01522,0.5168,0.6878
22,train/good/dish_good_022.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.01982,-0.3316,0.95343,0.95828,0.99229,0.2797,0.2474
23,train/good/dish_good_023.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.028,0.2496,1.03937,0.96031,1.01739,0.0,0.1264
24,train/good/dish_good_024.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.02209,-0.7822,1.02906,1.00303,1.01965,0.0,0.6056
25,train/good/dish_good_025.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.03431,1.8544,0.95672,1.03665,0.9874,0.0,0.7459
26,train/good/dish_good_026.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.02619,-2.7431,0.98856,0.96867,0.9825,0.3475,0.9753
27,train/good/dish_good_027.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.04458,-0.6413,1.01906,1.0314,1.01227,0.0,0.174
28,train/good/dish_good_028.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.02276,-0.6358,0.97495,0.96528,0.97242,0.0,0.4917
29,train/good/dish_good_029.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.02658,1.4838,0.98939,0.95004,0.99281,0.3415,0.2995
30,train/good/dish_good_030.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.00243,-1.7031,0.96872,1.0448,0.99738,0.0,1.0885
31,train/good/dish_good_031.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.01202,2.8521,1.00451,0.97505,0.98643,0.0,0.2011
32,train/good/dish_good_032.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.02503,0.6883,1.02735,0.96268,1.01903,0.0,0.6053
33,train/good/dish_good_033.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.04305,-2.3224,0.97793,1.02661,0.97315,0.0,0.2883
34,train/good/dish_good_034.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,True,1.02238,-2.2324,1.04354,1.01846,0.9792,0.0,0.2284
35,train/good/dish_good_035.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.00382,-1.4706,0.99741,1.02018,0.98347,0.4048,0.4665
36,train/good/dish_good_036.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.04213,1.2208,1.02341,0.96605,1.001,0.2501,0.2603
37,train/good/dish_good_037.png,20fd7207-78b4-4617-83e9-5c90272451bf.png,good,mild_normal_variation,False,1.02502,1.3128,1.02938,1.00181,0.97649,0.0,0.665
